id_accidente,fecha,d_a,gravedad,peaton,automovil,campaero,camioneta,micro,buseta,bus,camion,volqueta,moto,bicicleta,otro,via_1,barrio,entidad,id_comuna,nombrecomuna,propietario_de_veh_culo,diurnio_nocturno,hora_restriccion_moto
574,2012-02-22 18:40:00,Miercoles,Solo Daños,0,1,1,0,0,0,0,0,0,0,0,0,CARRERA,Cabecera del Llano,AGENTES DTB,C12, CABECERA DEL LLANO,Particular,Nocturno,No aplica
575,2012-02-22 14:40:00,Miercoles,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Provenza,AGENTES DTB,C10, PROVENZA,Particular,Diurno,Sin restricción
576,2012-02-22 19:15:00,Miercoles,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,1,CARRERA,San Rafael,AGENTES DTB,C03, SAN FRANCISCO,Particular,Nocturno,No aplica
577,2012-02-22 19:40:00,Miercoles,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,AVENIDA Q SECA,Centro,AGENTES DTB,C15, CENTRO,Empresa,Nocturno,Sin restricción
578,2012-02-22 09:40:00,Miercoles,Con Heridos,0,0,0,0,0,0,0,1,0,1,0,0,AVENIDA Q SECA,Alarcon,AGENTES DTB,C03, SAN FRANCISCO,Particular,Diurno,Sin restricción
579,2012-02-22 07:10:00,Miercoles,Con Heridos,1,0,0,1,0,0,0,0,0,1,0,0,CARRERA,Centro,AGENTES DTB,C15, CENTRO,Particular,Diurno,Sin restricción
580,2012-02-22 14:00:00,Miercoles,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Africa,AGENTES DTB,C08, SUROCCIDENTE,Empresa,Diurno,Sin restricción
581,2012-02-22 18:45:00,Miercoles,Con Heridos,1,0,0,0,0,0,0,0,0,1,0,0,ANILLO VIAL,Cafe Madrid,AGENTES DTB,C01, NORTE,Particular,Nocturno,Sin restricción
582,2012-02-23 13:05:00,Jueves,Con Muertos,0,0,0,0,1,0,0,0,0,1,0,0,TRANSVERSAL METROPOLITANA,SIN INFORMACION,AGENTES DTB,C25, SIN INFORMACION,Empresa,Diurno,Sin restricción
583,2012-02-23 11:20:00,Jueves,Con Heridos,0,0,0,0,0,0,0,0,0,2,0,0,AVENIDA LA ROSITA,Bolivar,AGENTES DTB,C13, ORIENTAL,Empresa,Diurno,Sin restricción
584,2012-02-23 12:30:00,Jueves,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,AVENIDA Q SECA,Centro,AGENTES DTB,C15, CENTRO,Empresa,Diurno,Sin restricción
585,2012-02-23 05:00:00,Jueves,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Rio de Oro I,AGENTES DTB,C04, OCCIDENTAL,Empresa,Nocturno,Sin restricción
586,2012-02-23 11:00:00,Jueves,Solo Daños,0,1,0,0,0,0,0,0,1,0,0,0,DIAGONAL,Cabecera del Llano,AGENTES DTB,C12, CABECERA DEL LLANO,Empresa,Diurno,No aplica
587,2012-02-23 16:00:00,Jueves,Con Heridos,0,1,0,1,0,0,0,0,0,0,0,0,CARRERA,La Aurora,AGENTES DTB,C13, ORIENTAL,Particular,Diurno,No aplica
588,2012-02-23 16:00:00,Jueves,Con Heridos,1,0,0,1,0,0,0,0,0,0,0,0,CALLE,Ricaurte,AGENTES DTB,C06, LA CONCORDIA,Empresa,Diurno,No aplica
589,2012-02-23 21:30:00,Jueves,Con Heridos,0,0,0,0,0,0,1,0,0,0,0,0,AUTOPISTA GIRÓN,Bucaramanga,AGENTES DTB,C08, SUROCCIDENTE,Empresa,Nocturno,No aplica
590,2012-02-23 09:48:00,Jueves,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Alarcon,AGENTES DTB,C03, SAN FRANCISCO,Empresa,Diurno,Sin restricción
591,2012-02-23 08:05:00,Jueves,Solo Daños,0,1,0,0,0,0,1,0,0,0,0,0,CALLE,San Francisco,AGENTES DTB,C03, SAN FRANCISCO,Empresa,Diurno,No aplica
592,2012-02-23 11:00:00,Jueves,Con Heridos,0,0,0,0,0,0,0,0,0,2,0,0,CARRERA,La Aurora,AGENTES DTB,C13, ORIENTAL,Empresa,Diurno,Sin restricción
593,2012-02-23 11:30:00,Jueves,Solo Daños,0,0,0,1,0,0,0,1,0,0,0,0,CARRERA,Centro,AGENTES DTB,C15, CENTRO,Empresa,Diurno,No aplica
594,2012-02-23 13:00:00,Jueves,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,Diamante I,AGENTES DTB,C09, LA PEDREGOSA,Empresa,Diurno,No aplica
595,2012-02-23 14:50:00,Jueves,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Antonia Santos Centro,AGENTES DTB,C13, ORIENTAL,Empresa,Diurno,Sin restricción
596,2012-02-24 00:02:00,Viernes,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Bucaramanga,AGENTES DTB,C08, SUROCCIDENTE,Particular,Nocturno,En restricción
597,2012-02-24 17:30:00,Viernes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CARRERA,Cabecera del Llano,AGENTES DTB,C12, CABECERA DEL LLANO,Particular,Diurno,No aplica
598,2012-02-24 15:50:00,Viernes,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Universidad,AGENTES DTB,C03, SAN FRANCISCO,Particular,Diurno,No aplica
599,2012-02-24 17:05:00,Viernes,Con Heridos,0,0,1,0,0,0,0,0,0,1,0,0,CALLE,Ciudad Venecia,AGENTES DTB,C11, SUR,Particular,Diurno,Sin restricción
600,2012-02-24 19:40:00,Viernes,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,VIA MATANZA,Bucaramanga,AGENTES DTB,C08, SUROCCIDENTE,Particular,Nocturno,Sin restricción
601,2012-02-24 17:20:00,Viernes,Solo Daños,0,1,0,1,0,0,0,0,0,0,0,0,CALLE,La Salle,AGENTES DTB,C06, LA CONCORDIA,Particular,Diurno,No aplica
602,2012-02-24 18:05:00,Viernes,Solo Daños,0,0,0,1,0,0,0,0,0,1,0,0,CALLE,Girardot,AGENTES DTB,C04, OCCIDENTAL,Particular,Nocturno,Sin restricción
603,2012-02-24 19:15:00,Viernes,Solo Daños,0,1,0,1,0,0,0,0,0,0,0,0,DIAGONAL 15,Centro,AGENTES DTB,C15, CENTRO,Particular,Nocturno,No aplica
604,2012-02-24 16:50:00,Viernes,Solo Daños,0,1,0,0,1,0,0,0,0,0,0,0,CARRERA,Antiguo Campestre,AGENTES DTB,C12, CABECERA DEL LLANO,Empresa,Diurno,No aplica
605,2012-02-24 09:40:00,Viernes,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,AVENIDA LA ROSITA,La Concordia,AGENTES DTB,C06, LA CONCORDIA,Particular,Diurno,Sin restricción
606,2012-02-24 12:10:00,Viernes,Solo Daños,0,0,0,0,0,0,0,1,1,0,0,0,AUTOPISTA GIRÓN,Bucaramanga,AGENTES DTB,C08, SUROCCIDENTE,Empresa,Diurno,No aplica
607,2012-02-24 08:00:00,Viernes,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,Ricaurte,AGENTES DTB,C06, LA CONCORDIA,Particular,Diurno,Sin restricción
608,2012-02-25 00:10:00,Sabado,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Cabecera del Llano,AGENTES DTB,C12, CABECERA DEL LLANO,Particular,Nocturno,En restricción
609,2012-02-25 21:55:00,Sabado,Con Heridos,0,0,0,0,0,0,0,0,0,1,1,0,AUTOPISTA  NORTE,Rio de Oro I,AGENTES DTB,C04, OCCIDENTAL,Empresa,Nocturno,Sin restricción
610,2012-02-25 15:40:00,Sabado,Solo Daños,0,0,0,0,0,0,0,0,0,2,0,0,CARRERA,San Francisco,AGENTES DTB,C03, SAN FRANCISCO,Particular,Diurno,Sin restricción
611,2012-02-25 16:30:00,Sabado,Solo Daños,0,0,0,0,0,0,0,0,0,2,0,0,BOULEVAR BOLIVAR,San Francisco,AGENTES DTB,C03, SAN FRANCISCO,Particular,Diurno,Sin restricción
612,2012-02-25 17:30:00,Sabado,Con Heridos,0,1,0,0,0,0,0,0,0,1,0,0,CARRERA,San Francisco,AGENTES DTB,C03, SAN FRANCISCO,Empresa,Diurno,Sin restricción
613,2012-02-25 09:30:00,Sabado,Solo Daños,0,0,0,1,0,0,0,0,0,1,0,0,AUTOPISTA GIRÓN,Lagos del Cacique,AGENTES DTB,C16, LAGOS DEL CACIQUE,Particular,Diurno,Sin restricción
614,2012-02-25 21:10:00,Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,CALLE,Gaitan,AGENTES DTB,C04, OCCIDENTAL,Empresa,Nocturno,No aplica
615,2012-02-25 16:30:00,Sabado,Solo Daños,0,1,0,0,0,0,0,0,0,1,0,0,CALLE,Centro,AGENTES DTB,C15, CENTRO,Particular,Diurno,Sin restricción
616,2012-02-25 09:50:00,Sabado,Solo Daños,0,1,0,0,0,1,0,0,0,0,0,0,CARRERA,El Prado,AGENTES DTB,C13, ORIENTAL,Empresa,Diurno,No aplica
617,2012-02-25 10:29:00,Sabado,Solo Daños,0,2,0,0,0,0,0,0,0,0,0,0,TRANSVERSAL ORIENTAL,El Tejar,AGENTES DTB,C16, LAGOS DEL CACIQUE,Particular,Diurno,No aplica
